date,InstrumentTelemetry.mean_H1,InstrumentTelemetry.mean_S1,InstrumentTelemetry.mean_T1,InstrumentTelemetry.mean_T2
8/7/2018 12:04:58.000000000 AM,0.6833333333333332,-120.02,-120.15833333333335,26.69
8/7/2018 12:17:56.000000000 AM,0.7485714285714286,-120.02,-120.23428571428572,26.808571428571433
8/7/2018 12:30:54.000000000 AM,0.7733333333333333,-120.02,-120.17666666666666,27.983333333333334
8/7/2018 12:43:52.000000000 AM,0.79,-120.02,-120.20285714285716,27.6
8/7/2018 12:56:50.000000000 AM,0.7849999999999998,-120.02,-120.195,27.553333333333338
8/7/2018 1:09:48.000000000 AM,0.8200000000000001,-120.02,-120.15571428571427,27.565714285714286
8/7/2018 1:22:46.000000000 AM,0.82,-120.02,-120.14,27.278333333333332
8/7/2018 1:35:44.000000000 AM,0.8657142857142858,-120.02,-120.20285714285714,27.66857142857143
8/7/2018 1:48:42.000000000 AM,0.8866666666666667,-120.02,-120.23166666666667,26.886666666666667
8/7/2018 2:01:40.000000000 AM,0.8771428571428572,-120.02,-120.21857142857142,26.942857142857143
8/7/2018 2:14:38.000000000 AM,0.8866666666666667,-120.02,-120.15833333333332,26.965
8/7/2018 2:27:36.000000000 AM,0.9000000000000001,-120.02,-120.14,26.405714285714286
8/7/2018 2:40:34.000000000 AM,0.9150000000000001,-120.02,-120.15833333333335,26.788333333333338
8/7/2018 2:53:32.000000000 AM,0.9385714285714286,-120.02,-120.18714285714285,26.744285714285716
8/7/2018 3:06:30.000000000 AM,0.9450000000000002,-120.02,-120.195,26.415000000000003
8/7/2018 3:19:28.000000000 AM,0.9900000000000001,-120.02,-120.25,26.728571428571428
8/7/2018 3:32:26.000000000 AM,0.9600000000000001,-120.02,-120.21333333333332,26.238333333333333
8/7/2018 3:45:24.000000000 AM,0.9771428571428572,-120.02,-120.23428571428572,25.65142857142857
8/7/2018 3:58:22.000000000 AM,0.9900000000000001,-120.02,-120.14,26.906666666666666
8/7/2018 4:11:20.000000000 AM,1.002857142857143,-120.02,-120.1557142857143,25.93571428571429
8/7/2018 4:24:18.000000000 AM,1.0050000000000001,-120.02,-120.15833333333335,25.885
8/7/2018 4:37:16.000000000 AM,1.0285714285714287,-120.02,-120.18714285714285,26.035714285714285
8/7/2018 4:50:14.000000000 AM,1.05,-120.02,-120.21333333333332,25.473333333333333
8/7/2018 5:03:12.000000000 AM,1.0285714285714287,-120.02,-120.18714285714285,26.172857142857147
8/7/2018 5:16:10.000000000 AM,1.0050000000000001,-120.02,-120.15833333333335,25.61
8/7/2018 5:29:08.000000000 AM,1.0650000000000002,-120.02,-120.23166666666667,25.218333333333334
8/7/2018 5:42:06.000000000 AM,1.0671428571428572,-120.02,-120.23428571428572,25.87
8/7/2018 5:55:04.000000000 AM,1.0650000000000002,-120.02,-120.23166666666667,25.3
8/7/2018 6:08:02.000000000 AM,1.08,-120.02,-120.25,25.66714285714286
8/7/2018 6:21:00.000000000 AM,1.05,-120.02,-120.21333333333332,25.80666666666667
8/7/2018 6:33:58.000000000 AM,1.0671428571428572,-120.02,-120.23428571428572,26.407142857142862
8/7/2018 6:46:56.000000000 AM,1.05,-120.02,-120.21333333333332,26.593333333333334
8/7/2018 6:59:54.000000000 AM,1.0671428571428572,-120.02,-120.23428571428572,26.305714285714288
8/7/2018 7:12:52.000000000 AM,1.08,-120.02,-120.25,25.84833333333333
8/7/2018 7:25:50.000000000 AM,1.08,-120.02,-120.17142857142856,25.012857142857143
8/7/2018 7:38:48.000000000 AM,1.08,-120.02,-120.14,26.49166666666667
